id,game_id,season_id,competition,team_id,opponent_team_id,is_home,points,points_attempted,fg_made,fg_attempted,fg_pct,three_made,three_attempted,three_pct,two_made,two_attempted,two_pct,ft_made,ft_attempted,ft_pct,offensive_rebounds,defensive_rebounds,total_rebounds,assists,steals,blocks,fouls_committed,fouls_received,turnovers,dunks,plus_minus,efficiency,collective_offensive_rebounds,collective_defensive_rebounds,collective_total_rebounds,source_url,parse_model
48,24,1,NBB,9,5,0,80,169,27,62,43.5,5,20,25,22,42,52,21,25,84,10,7,17,11,13,1,39,0,14,0,0,69,,,,https://lnb.com.br/noticias/espirito-santo-x-lajeado-03042009/,classic
49,25,1,NBB,11,15,1,83,152,30,55,54.5,6,20,30,24,35,69,17,22,77,25,7,32,15,6,9,18,0,12,1,0,103,,,,https://lnb.com.br/noticias/minas-x-sao-jose-03042009/,classic
50,25,1,NBB,15,11,0,78,194,28,76,36.8,11,28,39,17,48,35,11,14,79,15,14,29,13,5,2,22,0,9,0,0,67,,,,https://lnb.com.br/noticias/minas-x-sao-jose-03042009/,classic
51,26,1,NBB,13,2,1,89,142,31,52,59.6,10,16,63,21,36,58,17,22,77,19,6,25,15,10,1,19,0,17,5,0,97,,,,https://lnb.com.br/noticias/pinheiros-x-assis-03042009/,classic
52,26,1,NBB,2,13,0,71,151,26,59,44.1,7,21,33,19,38,50,12,12,100,13,8,21,15,5,0,22,0,15,2,0,64,,,,https://lnb.com.br/noticias/pinheiros-x-assis-03042009/,classic
53,27,1,NBB,12,3,1,93,160,33,60,55,10,18,56,23,42,55,17,22,77,16,9,25,19,7,4,22,0,13,0,0,103,,,,https://lnb.com.br/noticias/paulistano-x-bauru-03042009/,classic
54,27,1,NBB,3,12,0,92,181,26,57,45.6,11,25,44,15,32,47,29,42,69,17,13,30,15,7,0,19,0,13,1,0,87,,,,https://lnb.com.br/noticias/paulistano-x-bauru-03042009/,classic
55,28,1,NBB,4,7,1,77,160,26,55,47.3,6,23,26,20,32,63,19,27,70,29,2,31,12,3,5,16,0,12,1,0,79,,,,https://lnb.com.br/noticias/brasilia-x-franca-03042009/,classic
56,28,1,NBB,7,4,0,76,175,28,67,41.8,6,23,26,22,44,50,14,18,78,22,4,26,10,12,3,27,0,11,0,0,73,,,,https://lnb.com.br/noticias/brasilia-x-franca-03042009/,classic
57,29,1,NBB,14,8,1,61,173,18,56,32.1,6,29,21,12,27,44,19,32,59,26,14,40,11,10,2,28,0,25,1,0,48,,,,https://lnb.com.br/noticias/saldanha-x-joinville-03042009/,classic
58,29,1,NBB,8,14,0,84,193,27,65,41.5,5,26,19,22,39,56,25,37,68,19,9,28,11,16,3,23,0,12,3,0,80,,,,https://lnb.com.br/noticias/saldanha-x-joinville-03042009/,classic
